Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
58684962,Getting Started with Streamlit for Data Science: Create and deploy Streamlit web applications from scratch in Python,Tyler Richards,"Richards, Tyler",,"=""180056550X""","=""9781800565500""",0,4.50,,Paperback,,2021,,,2021/09/28,to-read,to-read (#54),to-read,,,,0,,,0,,,,,
43084343,Machine Learning for Healthcare Analytics Projects: Build smart AI applications using neural network methodologies across the healthcare vertical market,Eduonix Learning Solutions,"Solutions, Eduonix Learning",,"=""""","=""""",0,0.0,Packt Publishing,Kindle Edition,134,2018,,,2021/09/27,to-read,to-read (#53),to-read,,,,0,,,0,,,,,
8247775,The Little Book That Still Beats the Market,Joel Greenblatt,"Greenblatt, Joel",,"=""0470624159""","=""9780470624159""",0,4.04,Wiley,Hardcover,208,2010,2007,,2021/09/27,to-read,to-read (#52),to-read,,,,0,,,0,,,,,
56291781,Hands-On Gradient Boosting with XGBoost and scikit-learn: Perform accessible machine learning and extreme gradient boosting with Python,Corey Wade,"Wade, Corey",Kevin Glynn,"=""""","=""""",5,4.50,,Kindle Edition,,2020,,2021/09/20,2021/09/20,,,read,"The book delivers exactly what it said: a hands-on approach to XGBoost. I really enjoy the fact that the book focus in the hyperparameter tuning.<br/>For me it is a 4.5 I deduct 0.5 because I was hoping that the difference between XGBoost and Gradient boosting would be more clearly explained. I had to use some external resource to understand it better. Nonetheless, as a hands-on book, it delivers what is supposes to",,,2,,,0,,,,,
41573140,"Hands-On Recommendation Systems with Python: Start building powerful and personalized, recommendation engines with Python",Rounak Banik,"Banik, Rounak",,"=""1788993756""","=""9781788993753""",0,3.86,Packt Publishing,Paperback,146,2018,,,2021/09/20,to-read,to-read (#51),to-read,,,,0,,,0,,,,,
4865,How to Win Friends and Influence People,Dale Carnegie,"Carnegie, Dale","ریحانه جعفری, پروین قائمی","=""""","=""""",3,4.21,Gallery Books,Paperback,288,1998,1936,2020/01/01,2017/10/26,,,read,,,,1,,,0,,,,,
18077903,"Creativity, Inc.: Overcoming the Unseen Forces That Stand in the Way of True Inspiration",Ed Catmull,"Catmull, Ed",Amy    Wallace,"=""0812993012""","=""9780812993011""",4,4.19,Random House,Hardcover,368,2014,2009,2021/09/03,2021/05/09,,,read,,,,1,,,0,,,,,
14321030,Best Practices in Data Cleaning: A Complete Guide to Everything You Need to Do Before and After Collecting Your Data,Jason W. Osborne,"Osborne, Jason W.",,"=""1412988012""","=""9781412988018""",0,4.05,"Sage Publications, Inc",Paperback,275,2012,2012,,2021/09/01,to-read,to-read (#50),to-read,,,,0,,,0,,,,,
15808128,Bad Data Handbook: Cleaning Up The Data So You Can Get Back To Work,Q. Ethan McCallum,"McCallum, Q. Ethan",,"=""1449321887""","=""9781449321888""",0,3.52,O'Reilly Media,Paperback,264,2012,2012,,2021/09/01,to-read,to-read (#49),to-read,,,,0,,,0,,,,,
29331954,Make: Drones: Teach an Arduino to Fly,David McGriffy,"McGriffy, David",,"=""1680451715""","=""9781680451719""",0,3.87,"Maker Media, Inc",Paperback,242,2016,,,2021/08/31,to-read,to-read (#48),to-read,,,,0,,,0,,,,,
30462852,"Computer Age Statistical Inference: Algorithms, Evidence, and Data Science",Bradley Efron,"Efron, Bradley",Trevor Hastie,"=""1107149894""","=""9781107149892""",0,4.40,Cambridge University Press,Hardcover,495,2016,,,2021/08/31,to-read,to-read (#47),to-read,,,,0,,,0,,,,,
43247984,Python for Finance: Mastering Data-Driven Finance,Yves Hilpisch,"Hilpisch, Yves",,"=""""","=""""",0,3.57,O'Reilly Media,Kindle Edition,722,2018,,,2021/08/27,to-read,to-read (#46),to-read,,,,0,,,0,,,,,
781182,Barbarians at the Gate: The Fall of RJR Nabisco,Bryan Burrough,"Burrough, Bryan",John Helyar,"=""0060536357""","=""9780060536350""",0,4.24,HarperBus,Paperback,592,2005,1989,,2021/08/21,to-read,to-read (#45),to-read,,,,0,,,0,,,,,
50542108,Deep Learning for Vision Systems,Mohamed Elgendy,"Elgendy, Mohamed",,"=""1617296198""","=""9781617296192""",5,4.25,Manning,Paperback,480,2020,,2021/08/18,2021/08/11,,,read,Great book if you are a beginner in the field. The concepts are explained very nicely. It has the best explanation of image segmentation of all the book I have read,,,1,,,0,,,,,
54855814,"Machine Learning for Algorithmic Trading: Predictive models to extract signals from market and alternative data for systematic trading strategies with Python, 2nd Edition",Stefan Jansen,"Jansen, Stefan",,"=""""","=""""",0,4.06,,Kindle Edition,,2020,,,2021/08/17,to-read,to-read (#44),to-read,,,,0,,,0,,,,,
55554018,Pandas in Action,Boris Paskhaver,"Paskhaver, Boris",,"=""1617297437""","=""9781617297434""",0,0.0,Manning,Paperback,440,2021,,,2021/08/15,to-read,to-read (#43),to-read,,,,0,,,0,,,,,
43506164,"Practical Deep Learning for Cloud, Mobile, and Edge: Real-World AI & Computer-Vision Projects Using Python, Keras & Tensorflow",Anirudh Koul,"Koul, Anirudh","Siddha Ganju, Meher Kasam","=""149203486X""","=""9781492034865""",0,4.72,O'Reilly Media,Paperback,620,2019,,,2021/08/14,to-read,to-read (#42),to-read,,,,0,,,0,,,,,
50204679,Tinyml: Machine Learning with Tensorflow Lite on Arduino and Ultra-Low-Power Microcontrollers,Pete Warden,"Warden, Pete",Daniel Situnayake,"=""1492052043""","=""9781492052043""",0,4.46,O'Reilly Media,Paperback,504,2019,,,2021/08/08,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
